SearchTeam,Team,Player,Experience,DPM,DPM Improvement,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,RimFGA/100,RimFG%,FTA/100,FT%,FTARate%,USG%,REB/100,AST/100,AST%,BLK/100,BLK%,STL/100,STL%,TOV/100
Los Angeles Lakers,Los Angeles Lakers,Anthony Davis,Vet,4.2,0.5,1.7,2.5,2.8,1.3,1.5,25.8,56.0%,3,32.3%,14.5%,8,76.0%,9.8,80.9%,37.6%,29.8%,17.4,5,16.4%,2.9,3.1%,1.7,1.8%,3.1
Los Angeles Lakers,Los Angeles Lakers,LeBron James,Vet,2.9,-1.2,3.2,-0.3,2.3,2.5,-0.1,25.9,56.2%,7.1,35.6%,24.7%,6.6,75.7%,6.1,76.6%,23.1%,29.3%,10.2,12.8,44.6%,0.8,0.9%,1.6,1.5%,4.9
Los Angeles Lakers,Los Angeles Lakers,Austin Reaves,Vet,0.6,0.2,1.9,-1.3,0.8,2.7,-1.9,18.9,56.1%,9.1,36.7%,48.3%,2.9,75.4%,6,86.1%,31.0%,21.5%,5.7,8.7,25.3%,0.3,0.4%,1.4,1.4%,3.4
Los Angeles Lakers,Los Angeles Lakers,Jarred Vanderbilt,Vet,0.6,0.7,-1.4,1.9,-0.1,-1,0.9,11.3,56.8%,3.9,31.8%,34.0%,4.5,70.1%,3,67.9%,32.8%,13.7%,12.2,3.8,9.7%,0.8,0.9%,2.7,2.7%,2.4
Los Angeles Lakers,Los Angeles Lakers,Dorian Finney-Smith,Vet,0.3,0.1,-0.9,1.1,-0.7,-1.7,1,11.5,54.3%,8.3,37.6%,72.5%,2.2,67.0%,1.3,70.9%,10.9%,11.2%,7.7,2.7,6.9%,0.8,0.8%,1.6,1.6%,1.2
Los Angeles Lakers,Los Angeles Lakers,Christian Wood,Vet,-0.2,-0.9,-0.8,0.6,-0.3,-0.2,0,18.1,55.0%,6.7,34.1%,35.9%,4.2,71.5%,5.4,68.3%,33.0%,19.0%,14.2,3.2,9.9%,1.8,2.0%,1.2,1.2%,2.7
Los Angeles Lakers,Los Angeles Lakers,Max Christie,Vet,-0.5,1.2,-0.6,0.2,0.2,-0.5,0.6,12.8,55.1%,8.1,38.7%,62.1%,2.2,69.0%,2.9,83.6%,24.5%,13.6%,5.7,3,8.0%,0.8,0.9%,1.4,1.4%,1.4
Los Angeles Lakers,Los Angeles Lakers,Rui Hachimura,Vet,-0.6,0.7,-0.6,-0.1,-1.8,-0.5,-1.2,15.1,58.6%,6,38.9%,39.6%,4.8,74.7%,2.9,76.7%,18.9%,15.7%,7.9,2.7,7.0%,0.7,0.8%,1.2,1.2%,1.4
Los Angeles Lakers,Los Angeles Lakers,Jaxson Hayes,Vet,-0.9,-0.9,-1.5,0.6,0.2,-1.2,1.4,10.1,68.8%,0.7,23.7%,3.6%,6.6,77.5%,4.8,69.1%,43.9%,11.7%,12.9,2.5,6.7%,1.8,1.9%,1.5,1.5%,2
Los Angeles Lakers,Los Angeles Lakers,Dalton Knecht,Rookie,-1.3,,0,-1.4,-1.2,0.1,-1.3,17.3,54.8%,11,35.6%,62.9%,2.5,69.3%,3,80.0%,17.1%,17.2%,7.4,2.6,7.0%,0.3,0.4%,1.1,1.1%,1.2
Los Angeles Lakers,Los Angeles Lakers,Cam Reddish,Vet,-1.4,0.2,-2.1,0.7,-1.1,-2.3,1.2,9.5,50.2%,4.7,33.0%,52.0%,2.3,65.4%,2.4,69.6%,22.2%,9.9%,5.8,2.5,6.7%,0.8,0.9%,2.5,2.4%,1.4
Los Angeles Lakers,Los Angeles Lakers,Christian Koloko,Vet,-1.5,-0.2,-3,1.5,-1.7,-3.3,1.6,10.6,55.8%,0.6,23.7%,3.2%,5.5,67.7%,3.2,67.4%,21.7%,12.6%,12.5,2.4,6.3%,2.4,2.7%,1.4,1.4%,1.9
Los Angeles Lakers,Los Angeles Lakers,Gabe Vincent,Vet,-1.8,0.2,-1.5,-0.3,-2,-1.6,-0.4,12.2,50.6%,8.2,35.3%,67.1%,1.3,61.4%,1,75.9%,11.3%,12.0%,3.7,3.8,11.1%,0.5,0.6%,1.7,1.7%,1.7
Los Angeles Lakers,Los Angeles Lakers,Jalen Hood-Schifino,Sophomore,-2,0.6,-2.2,0.2,-2,-2.2,0.2,16.5,51.1%,4.8,27.5%,31.1%,4.4,63.3%,5,69.9%,31.0%,19.1%,7.4,4.3,12.4%,1.1,1.1%,1.6,1.7%,2.9
Los Angeles Lakers,Los Angeles Lakers,Shake Milton,Vet,-2.1,-0.6,-1.2,-0.9,-1.6,-1,-0.6,17.4,49.9%,8,36.1%,48.9%,2.7,62.7%,4.3,77.8%,21.4%,17.7%,5.8,6.8,18.9%,0.4,0.4%,1.5,1.5%,2.9
Los Angeles Lakers,Los Angeles Lakers,Armel Traoré,Rookie,-2.6,,-2.6,0,-2.6,-2.6,0,15.2,50.2%,5.6,30.2%,36.5%,5.8,65.8%,4.8,60.2%,27.2%,17.3%,10.5,2.8,7.5%,1.2,1.4%,1.7,1.8%,2.7
